order_id,payment_id,gross,captured_at
ORD_001742,PAY_001742,205.00,2025-01-13
ORD_002121,PAY_002121,412.61,2025-01-14
ORD_002151,PAY_002151,68.44,2025-01-15
ORD_002275,PAY_002275,24.34,2025-01-15
ORD_002320,PAY_002320,421.65,2025-01-14
ORD_002500,PAY_002500,100.54,2025-01-15
ORD_002533,PAY_002533,264.25,2025-01-10
ORD_002869,PAY_002869,113.78,2025-01-15
ORD_002918,PAY_002918,438.93,2025-01-15
ORD_003281,PAY_003281,238.31,2025-01-15
ORD_003371,PAY_003371,264.89,2025-01-15
ORD_003453,PAY_003453,16.96,2025-01-15
ORD_003531,PAY_003531,489.48,2025-01-10
ORD_003933,PAY_003933,352.20,2025-01-15
ORD_004142,PAY_004142,398.36,2025-01-15
ORD_004672,PAY_004672,496.34,2025-01-15
ORD_004745,PAY_004745,114.27,2025-01-15
ORD_000163,PAY_000163,119.75,2025-01-16
ORD_000434,PAY_000434,224.38,2025-01-16
ORD_000722,PAY_000722,71.55,2025-01-15
ORD_000971,PAY_000971,437.41,2025-01-14
ORD_001018,PAY_001018,292.66,2025-01-16
ORD_001314,PAY_001314,309.07,2025-01-16
ORD_001363,PAY_001363,69.91,2025-01-16
ORD_001385,PAY_001385,331.04,2025-01-16
ORD_002096,PAY_002096,371.13,2025-01-16
ORD_002117,PAY_002117,130.89,2025-01-16
ORD_002228,PAY_002228,296.35,2025-01-16
ORD_002295,PAY_002295,347.67,2025-01-16
ORD_003175,PAY_003175,171.88,2025-01-16
ORD_003254,PAY_003254,338.04,2025-01-16
ORD_003352,PAY_003352,447.51,2025-01-16
ORD_003442,PAY_003442,25.43,2025-01-16
ORD_003690,PAY_003690,343.52,2025-01-16
ORD_003837,PAY_003837,492.87,2025-01-16
ORD_003885,PAY_003885,114.94,2025-01-16
ORD_004473,PAY_004473,39.89,2025-01-16
ORD_004567,PAY_004567,107.50,2025-01-16
ORD_004643,PAY_004643,218.13,2025-01-16
ORD_000027,PAY_000027,249.90,2025-01-17
ORD_000124,PAY_000124,393.87,2025-01-17
ORD_000280,PAY_000280,269.18,2025-01-17
ORD_000725,PAY_000725,148.24,2025-01-17
ORD_001260,PAY_001260,222.42,2025-01-17
ORD_002017,PAY_002017,214.01,2025-01-14
ORD_002045,PAY_002045,369.09,2025-01-17
ORD_002159,PAY_002159,426.20,2025-01-17
ORD_003133,PAY_003133,346.69,2025-01-17
ORD_003259,PAY_003259,99.07,2025-01-17
ORD_004013,PAY_004013,276.00,2025-01-17
ORD_004440,PAY_004440,229.68,2025-01-17
ORD_000270,PAY_000270,355.10,2025-01-20
ORD_000272,PAY_000272,415.84,2025-01-20
ORD_000286,PAY_000286,142.57,2025-01-20
ORD_000291,PAY_000291,55.15,2025-01-20
ORD_000448,PAY_000448,255.64,2025-01-20
ORD_000554,PAY_000554,470.48,2025-01-20
ORD_000619,PAY_000619,150.29,2025-01-17
ORD_000634,PAY_000634,476.67,2025-01-20
ORD_000642,PAY_000642,192.14,2025-01-20
ORD_000731,PAY_000731,25.66,2025-01-20
ORD_000758,PAY_000758,242.35,2025-01-20
ORD_000762,PAY_000762,302.59,2025-01-20
ORD_000820,PAY_000820,361.37,2025-01-20
ORD_000902,PAY_000902,65.72,2025-01-20
ORD_000987,PAY_000987,280.46,2025-01-20
ORD_001138,PAY_001138,106.57,2025-01-20
ORD_001156,PAY_001156,255.99,2025-01-20
ORD_001205,PAY_001205,266.20,2025-01-20
ORD_001243,PAY_001243,123.66,2025-01-20
ORD_001308,PAY_001308,496.19,2025-01-20
ORD_001389,PAY_001389,195.58,2025-01-20
ORD_001441,PAY_001441,282.38,2025-01-20
ORD_001485,PAY_001485,306.36,2025-01-20
ORD_001668,PAY_001668,262.47,2025-01-20
ORD_001725,PAY_001725,238.23,2025-01-20
ORD_001731,PAY_001731,433.92,2025-01-20
ORD_001899,PAY_001899,7.03,2025-01-20
ORD_001925,PAY_001925,367.43,2025-01-20
ORD_002059,PAY_002059,105.33,2025-01-20
ORD_002297,PAY_002297,309.15,2025-01-17
ORD_002361,PAY_002361,472.62,2025-01-20
ORD_002384,PAY_002384,58.53,2025-01-20
ORD_002387,PAY_002387,136.23,2025-01-20
ORD_002446,PAY_002446,30.93,2025-01-20
ORD_002475,PAY_002475,166.53,2025-01-20
ORD_002492,PAY_002492,97.86,2025-01-20
ORD_002505,PAY_002505,422.87,2025-01-20
ORD_002773,PAY_002773,78.78,2025-01-20
ORD_002810,PAY_002810,12.89,2025-01-20
ORD_002822,PAY_002822,305.62,2025-01-20
ORD_002839,PAY_002839,306.41,2025-01-20
ORD_003095,PAY_003095,451.14,2025-01-20
ORD_003305,PAY_003305,169.13,2025-01-20
ORD_003413,PAY_003413,270.12,2025-01-20
ORD_003530,PAY_003530,243.39,2025-01-20
ORD_003644,PAY_003644,220.50,2025-01-20
ORD_003679,PAY_003679,438.89,2025-01-20
ORD_003697,PAY_003697,297.12,2025-01-20
ORD_004353,PAY_004353,293.91,2025-01-20
ORD_004411,PAY_004411,324.06,2025-01-20
ORD_004458,PAY_004458,155.57,2025-01-20
ORD_004540,PAY_004540,460.63,2025-01-20
ORD_004737,PAY_004737,94.87,2025-01-20
ORD_004802,PAY_004802,217.34,2025-01-20
ORD_004941,PAY_004941,192.25,2025-01-20
ORD_000074,PAY_000074,411.20,2025-01-21
ORD_000428,PAY_000428,123.95,2025-01-21
ORD_000450,PAY_000450,4.18,2025-01-17
ORD_000512,PAY_000512,411.30,2025-01-21
ORD_000567,PAY_000567,307.69,2025-01-21
ORD_001591,PAY_001591,373.87,2025-01-21
ORD_002193,PAY_002193,131.59,2025-01-21
ORD_002258,PAY_002258,177.11,2025-01-21
ORD_002907,PAY_002907,297.29,2025-01-21
ORD_003157,PAY_003157,426.47,2025-01-21
ORD_003184,PAY_003184,15.06,2025-01-21
ORD_003418,PAY_003418,358.44,2025-01-21
ORD_003594,PAY_003594,132.37,2025-01-17
ORD_003659,PAY_003659,268.75,2025-01-21
ORD_003764,PAY_003764,402.01,2025-01-21
ORD_004323,PAY_004323,340.65,2025-01-21
ORD_004326,PAY_004326,162.42,2025-01-21
ORD_000734,PAY_000734,389.21,2025-01-22
ORD_001000,PAY_001000,439.31,2025-01-22
ORD_001229,PAY_001229,238.38,2025-01-22
ORD_001393,PAY_001393,142.77,2025-01-22
ORD_002241,PAY_002241,418.18,2025-01-22
ORD_002566,PAY_002566,239.30,2025-01-17
ORD_002802,PAY_002802,305.17,2025-01-22
ORD_002924,PAY_002924,302.70,2025-01-22
ORD_002986,PAY_002986,249.73,2025-01-22
ORD_003207,PAY_003207,118.27,2025-01-22
ORD_003306,PAY_003306,461.26,2025-01-22
ORD_003635,PAY_003635,153.71,2025-01-22
ORD_003704,PAY_003704,270.10,2025-01-22
ORD_003813,PAY_003813,112.32,2025-01-22
ORD_004207,PAY_004207,340.94,2025-01-22
ORD_004275,PAY_004275,438.74,2025-01-17
ORD_004635,PAY_004635,480.11,2025-01-20
ORD_004681,PAY_004681,469.74,2025-01-20
ORD_000017,PAY_000017,444.17,2025-01-23
ORD_000175,PAY_000175,267.51,2025-01-20
ORD_000258,PAY_000258,441.06,2025-01-23
ORD_000423,PAY_000423,79.85,2025-01-20
ORD_000727,PAY_000727,286.93,2025-01-23
ORD_001219,PAY_001219,422.46,2025-01-23
ORD_001401,PAY_001401,494.61,2025-01-23
ORD_001443,PAY_001443,466.60,2025-01-23
ORD_001898,PAY_001898,344.25,2025-01-23
ORD_002010,PAY_002010,68.08,2025-01-20
ORD_002345,PAY_002345,2.77,2025-01-23
ORD_002350,PAY_002350,444.38,2025-01-21
ORD_002847,PAY_002847,294.52,2025-01-23
ORD_002984,PAY_002984,97.89,2025-01-23
ORD_003031,PAY_003031,190.22,2025-01-23
ORD_003137,PAY_003137,282.16,2025-01-21
ORD_003143,PAY_003143,37.10,2025-01-23
ORD_003315,PAY_003315,243.78,2025-01-23
ORD_003976,PAY_003976,454.94,2025-01-20
ORD_004291,PAY_004291,131.06,2025-01-23
ORD_000680,PAY_000680,43.04,2025-01-24
ORD_001115,PAY_001115,317.07,2025-01-24
ORD_001155,PAY_001155,141.72,2025-01-24
ORD_001481,PAY_001481,486.71,2025-01-24
ORD_001534,PAY_001534,76.22,2025-01-24
ORD_002196,PAY_002196,8.10,2025-01-24
ORD_002227,PAY_002227,306.99,2025-01-24
ORD_002339,PAY_002339,327.41,2025-01-24
ORD_002341,PAY_002341,349.36,2025-01-24
ORD_002418,PAY_002418,70.22,2025-01-24
ORD_002426,PAY_002426,54.80,2025-01-24
ORD_002667,PAY_002667,304.48,2025-01-24
ORD_003156,PAY_003156,25.02,2025-01-24
ORD_003400,PAY_003400,426.04,2025-01-24
ORD_003954,PAY_003954,57.70,2025-01-24
ORD_004188,PAY_004188,85.07,2025-01-24
ORD_004234,PAY_004234,354.23,2025-01-24
ORD_004332,PAY_004332,162.90,2025-01-24
ORD_004335,PAY_004335,340.07,2025-01-24
ORD_004351,PAY_004351,499.91,2025-01-24
ORD_004724,PAY_004724,387.00,2025-01-24
ORD_000510,PAY_000510,29.86,2025-01-27
ORD_000547,PAY_000547,165.64,2025-01-27
ORD_000793,PAY_000793,411.99,2025-01-27
ORD_000916,PAY_000916,295.13,2025-01-27
ORD_001375,PAY_001375,124.09,2025-01-27
ORD_001427,PAY_001427,362.48,2025-01-27
ORD_001566,PAY_001566,380.59,2025-01-27
ORD_001765,PAY_001765,191.45,2025-01-27
ORD_001767,PAY_001767,45.67,2025-01-27
ORD_001789,PAY_001789,440.98,2025-01-27
ORD_001806,PAY_001806,305.48,2025-01-27
ORD_001825,PAY_001825,61.76,2025-01-27
ORD_001907,PAY_001907,192.56,2025-01-27
ORD_001957,PAY_001957,395.10,2025-01-27
ORD_001965,PAY_001965,355.01,2025-01-27
ORD_001993,PAY_001993,156.44,2025-01-27
ORD_002311,PAY_002311,413.64,2025-01-27
ORD_002323,PAY_002323,373.44,2025-01-27
ORD_002389,PAY_002389,55.11,2025-01-27
ORD_002582,PAY_002582,178.78,2025-01-27
ORD_002753,PAY_002753,55.96,2025-01-27
ORD_002764,PAY_002764,15.35,2025-01-27
ORD_002791,PAY_002791,355.38,2025-01-27
ORD_003008,PAY_003008,167.23,2025-01-27
ORD_003168,PAY_003168,271.30,2025-01-27
ORD_003185,PAY_003185,495.47,2025-01-27
ORD_003260,PAY_003260,4.21,2025-01-27
ORD_003262,PAY_003262,150.38,2025-01-27
ORD_003309,PAY_003309,161.69,2025-01-27
ORD_003396,PAY_003396,425.89,2025-01-27
ORD_003434,PAY_003434,374.26,2025-01-27
ORD_003579,PAY_003579,79.20,2025-01-27
ORD_003777,PAY_003777,309.94,2025-01-27
ORD_003859,PAY_003859,218.33,2025-01-27
ORD_003940,PAY_003940,181.23,2025-01-27
ORD_003974,PAY_003974,290.06,2025-01-27
ORD_003985,PAY_003985,110.70,2025-01-27
ORD_003992,PAY_003992,360.51,2025-01-27
ORD_004088,PAY_004088,78.14,2025-01-27
ORD_004157,PAY_004157,20.37,2025-01-27
ORD_004190,PAY_004190,119.51,2025-01-27
ORD_004217,PAY_004217,170.34,2025-01-27
ORD_004255,PAY_004255,338.61,2025-01-27
ORD_004292,PAY_004292,99.24,2025-01-27
ORD_004550,PAY_004550,111.15,2025-01-27
ORD_004577,PAY_004577,458.67,2025-01-27
ORD_004678,PAY_004678,352.12,2025-01-27
ORD_004744,PAY_004744,276.57,2025-01-27
ORD_004758,PAY_004758,203.81,2025-01-23
ORD_004775,PAY_004775,394.82,2025-01-27
ORD_004836,PAY_004836,443.07,2025-01-27
ORD_004971,PAY_004971,405.00,2025-01-27
ORD_000122,PAY_000122,315.12,2025-01-28
ORD_000139,PAY_000139,34.34,2025-01-28
ORD_000338,PAY_000338,291.23,2025-01-28
ORD_000560,PAY_000560,8.92,2025-01-28
ORD_000627,PAY_000627,325.62,2025-01-28
ORD_000663,PAY_000663,340.30,2025-01-28
ORD_002630,PAY_002630,496.71,2025-01-28
ORD_003004,PAY_003004,36.76,2025-01-28
ORD_003655,PAY_003655,436.54,2025-01-28
ORD_003750,PAY_003750,429.24,2025-01-28
ORD_003780,PAY_003780,331.04,2025-01-28
ORD_004290,PAY_004290,100.16,2025-01-28
ORD_004520,PAY_004520,367.34,2025-01-28
ORD_004579,PAY_004579,295.98,2025-01-27
ORD_004663,PAY_004663,83.32,2025-01-28
ORD_004777,PAY_004777,235.11,2025-01-28
ORD_000097,PAY_000097,479.93,2025-01-29
ORD_000363,PAY_000363,361.17,2025-01-29
ORD_001182,PAY_001182,380.35,2025-01-29
ORD_001809,PAY_001809,218.72,2025-01-29
ORD_001990,PAY_001990,226.54,2025-01-29
ORD_002321,PAY_002321,476.58,2025-01-24
ORD_002596,PAY_002596,249.02,2025-01-29
ORD_002895,PAY_002895,367.10,2025-01-29
ORD_002937,PAY_002937,356.47,2025-01-29
ORD_003096,PAY_003096,133.98,2025-01-28
ORD_003318,PAY_003318,50.26,2025-01-29
ORD_003426,PAY_003426,339.43,2025-01-29
ORD_003593,PAY_003593,235.89,2025-01-29
ORD_003980,PAY_003980,187.25,2025-01-29
ORD_004018,PAY_004018,481.81,2025-01-29
ORD_004706,PAY_004706,407.04,2025-01-29
ORD_004854,PAY_004854,431.96,2025-01-29
ORD_000085,PAY_000085,54.86,2025-01-30
ORD_000412,PAY_000412,312.41,2025-01-30
ORD_000454,PAY_000454,186.83,2025-01-30
ORD_001040,PAY_001040,413.97,2025-01-30
ORD_001426,PAY_001426,58.81,2025-01-30
ORD_001455,PAY_001455,57.86,2025-01-30
ORD_001623,PAY_001623,384.28,2025-01-30
ORD_001763,PAY_001763,68.31,2025-01-30
ORD_002128,PAY_002128,164.83,2025-01-30
ORD_003017,PAY_003017,125.89,2025-01-30
ORD_003288,PAY_003288,20.94,2025-01-30
ORD_003744,PAY_003744,9.21,2025-01-30
ORD_003947,PAY_003947,372.28,2025-01-30
ORD_003965,PAY_003965,169.27,2025-01-30
ORD_004535,PAY_004535,58.98,2025-01-30
ORD_000187,PAY_000187,443.38,2025-01-31
ORD_000336,PAY_000336,318.84,2025-01-31
ORD_000349,PAY_000349,26.97,2025-01-31
ORD_000844,PAY_000844,469.86,2025-01-31
ORD_001132,PAY_001132,54.77,2025-01-31
ORD_001152,PAY_001152,458.04,2025-01-31
ORD_001169,PAY_001169,23.63,2025-01-31
ORD_001296,PAY_001296,267.01,2025-01-31
ORD_001407,PAY_001407,101.55,2025-01-31
ORD_001706,PAY_001706,112.60,2025-01-31
ORD_001835,PAY_001835,73.73,2025-01-31
ORD_002146,PAY_002146,247.42,2025-01-31
ORD_002149,PAY_002149,20.07,2025-01-31
ORD_002232,PAY_002232,223.97,2025-01-31
ORD_002285,PAY_002285,346.45,2025-01-31
ORD_002462,PAY_002462,166.84,2025-01-30
ORD_002740,PAY_002740,494.94,2025-01-31
ORD_003166,PAY_003166,117.39,2025-01-31
ORD_003197,PAY_003197,290.27,2025-01-31
ORD_003209,PAY_003209,490.57,2025-01-31
ORD_003283,PAY_003283,53.05,2025-01-31
ORD_003685,PAY_003685,381.03,2025-01-31
ORD_003939,PAY_003939,399.56,2025-01-31
ORD_003996,PAY_003996,334.96,2025-01-31
ORD_004105,PAY_004105,338.32,2025-01-31
ORD_000108,PAY_000108,41.46,2025-02-03
ORD_000128,PAY_000128,339.50,2025-02-03
ORD_000229,PAY_000229,420.72,2025-02-03
ORD_000257,PAY_000257,479.66,2025-02-03
ORD_000289,PAY_000289,446.99,2025-02-03
ORD_000293,PAY_000293,345.31,2025-02-03
ORD_000408,PAY_000408,23.52,2025-02-03
ORD_000582,PAY_000582,259.46,2025-02-03
ORD_000717,PAY_000717,161.08,2025-02-03
ORD_000724,PAY_000724,370.15,2025-02-03
ORD_000864,PAY_000864,223.30,2025-02-03
ORD_000868,PAY_000868,252.43,2025-02-03
ORD_000893,PAY_000893,100.70,2025-02-03
ORD_000920,PAY_000920,213.73,2025-02-03
ORD_000939,PAY_000939,363.92,2025-02-03
ORD_001250,PAY_001250,350.31,2025-02-03
ORD_001251,PAY_001251,377.07,2025-02-03
ORD_001277,PAY_001277,490.98,2025-02-03
ORD_001340,PAY_001340,60.41,2025-02-03
ORD_001370,PAY_001370,94.49,2025-02-03
ORD_001472,PAY_001472,411.44,2025-02-03
ORD_001641,PAY_001641,484.82,2025-02-03
ORD_001935,PAY_001935,24.83,2025-02-03
ORD_002034,PAY_002034,369.54,2025-02-03
ORD_002063,PAY_002063,24.83,2025-01-30
ORD_002156,PAY_002156,175.32,2025-02-03
ORD_002209,PAY_002209,357.02,2025-02-03
ORD_002215,PAY_002215,460.64,2025-01-29
ORD_002415,PAY_002415,175.54,2025-02-03
ORD_002423,PAY_002423,419.25,2025-02-03
ORD_002457,PAY_002457,389.30,2025-02-03
ORD_002482,PAY_002482,472.47,2025-02-03
ORD_002513,PAY_002513,128.55,2025-02-03
ORD_002567,PAY_002567,363.57,2025-02-03
ORD_002658,PAY_002658,269.59,2025-02-03
ORD_002781,PAY_002781,394.05,2025-02-03
ORD_002863,PAY_002863,262.72,2025-02-03
ORD_002962,PAY_002962,455.94,2025-02-03
ORD_002982,PAY_002982,372.40,2025-02-03
ORD_002999,PAY_002999,376.94,2025-02-03
ORD_003051,PAY_003051,244.96,2025-02-03
ORD_003132,PAY_003132,270.82,2025-02-03
ORD_003233,PAY_003233,184.48,2025-02-03
ORD_003256,PAY_003256,45.74,2025-02-03
ORD_003279,PAY_003279,477.17,2025-02-03
ORD_003317,PAY_003317,434.29,2025-02-03
ORD_003343,PAY_003343,97.56,2025-02-03
ORD_003409,PAY_003409,362.23,2025-02-03
ORD_003630,PAY_003630,102.99,2025-02-03
ORD_003692,PAY_003692,312.52,2025-01-30
ORD_004090,PAY_004090,239.73,2025-02-03
ORD_004186,PAY_004186,326.80,2025-02-03
ORD_004199,PAY_004199,447.67,2025-02-03
ORD_004202,PAY_004202,424.01,2025-02-03
ORD_004330,PAY_004330,470.91,2025-02-03
ORD_004493,PAY_004493,373.41,2025-02-03
ORD_004608,PAY_004608,359.49,2025-02-03
ORD_004989,PAY_004989,127.16,2025-02-03
ORD_000160,PAY_000160,161.70,2025-02-04
ORD_000239,PAY_000239,332.46,2025-02-04
ORD_000403,PAY_000403,273.36,2025-02-04
ORD_000635,PAY_000635,185.75,2025-02-04
ORD_000768,PAY_000768,78.47,2025-02-04
ORD_000907,PAY_000907,442.04,2025-02-04
ORD_001235,PAY_001235,446.39,2025-02-03
ORD_001516,PAY_001516,282.49,2025-02-04
ORD_001574,PAY_001574,494.78,2025-02-04
ORD_002021,PAY_002021,380.34,2025-02-04
ORD_002118,PAY_002118,472.50,2025-02-04
ORD_002263,PAY_002263,11.38,2025-01-31
ORD_002488,PAY_002488,287.59,2025-02-04
ORD_002881,PAY_002881,98.97,2025-01-31
ORD_002888,PAY_002888,200.17,2025-02-04
ORD_003007,PAY_003007,268.00,2025-02-04
ORD_003208,PAY_003208,107.33,2025-02-04
ORD_003397,PAY_003397,365.39,2025-02-04
ORD_003522,PAY_003522,421.23,2025-02-04
ORD_003526,PAY_003526,340.20,2025-02-04
ORD_004444,PAY_004444,281.67,2025-02-04
ORD_004624,PAY_004624,254.22,2025-02-04
ORD_004749,PAY_004749,459.29,2025-02-04
ORD_004886,PAY_004886,415.35,2025-02-04
ORD_000004,PAY_000004,102.33,2025-01-31
ORD_000154,PAY_000154,159.21,2025-02-04
ORD_000607,PAY_000607,38.94,2025-02-05
ORD_000732,PAY_000732,426.29,2025-02-05
ORD_000741,PAY_000741,146.41,2025-02-05
ORD_001121,PAY_001121,227.39,2025-02-05
ORD_002216,PAY_002216,449.34,2025-02-05
ORD_003081,PAY_003081,113.97,2025-02-05
ORD_003231,PAY_003231,120.51,2025-02-05
ORD_003548,PAY_003548,82.32,2025-02-05
ORD_003958,PAY_003958,334.49,2025-02-03
ORD_004213,PAY_004213,131.78,2025-02-05
ORD_004487,PAY_004487,90.73,2025-02-05
ORD_004514,PAY_004514,296.41,2025-02-05
ORD_004657,PAY_004657,57.22,2025-02-03
ORD_004676,PAY_004676,21.08,2025-02-05
ORD_000098,PAY_000098,172.61,2025-02-06
ORD_000268,PAY_000268,228.92,2025-02-06
ORD_000362,PAY_000362,393.41,2025-02-06
