payment_id,gross,fee,gst,net,settled_at
PAY_000257,479.66,9.59,1.73,468.34,2025-01-13
PAY_000268,228.92,4.58,0.82,223.52,2025-01-13
PAY_000289,446.99,8.94,1.61,436.44,2025-01-13
PAY_000334,459.64,9.19,1.65,448.80,2025-01-13
PAY_000361,422.84,8.46,1.52,412.86,2025-01-13
PAY_000362,393.41,7.87,1.42,384.12,2025-01-13
PAY_000388,213.05,4.26,0.77,208.02,2025-01-13
PAY_000391,63.12,1.26,0.23,61.63,2025-01-13
PAY_000403,273.36,5.47,0.98,266.91,2025-01-13
PAY_000408,23.52,0.47,0.08,22.97,2025-01-13
PAY_000436,58.63,1.17,0.21,57.25,2025-01-13
PAY_000472,66.41,1.33,0.24,64.84,2025-01-13
PAY_000028,274.19,5.48,0.99,267.72,2025-01-14
PAY_000049,319.11,6.38,1.15,311.58,2025-01-14
PAY_000058,20.55,0.41,0.07,20.07,2025-01-14
PAY_000088,359.10,7.18,1.29,350.62,2025-01-14
PAY_000090,469.15,9.38,1.69,458.08,2025-01-14
PAY_000127,330.98,6.62,1.19,323.17,2025-01-14
PAY_000152,272.33,5.45,0.98,265.90,2025-01-14
PAY_000174,91.99,1.84,0.33,89.82,2025-01-14
PAY_000194,446.18,8.92,1.61,435.65,2025-01-14
PAY_000203,217.98,4.36,0.78,212.84,2025-01-14
PAY_000230,362.22,7.24,1.30,353.68,2025-01-14
PAY_000260,180.21,3.60,0.65,175.96,2025-01-14
PAY_000263,461.84,9.24,1.66,450.94,2025-01-14
PAY_000293,345.31,6.91,1.24,337.16,2025-01-14
PAY_000301,370.05,7.40,1.33,361.32,2025-01-14
PAY_000309,32.44,0.65,0.12,31.67,2025-01-14
PAY_000374,157.88,3.16,0.57,154.15,2025-01-14
PAY_000375,480.73,9.61,1.73,469.39,2025-01-14
PAY_000441,225.49,4.51,0.81,220.17,2025-01-14
PAY_000461,224.38,4.49,0.81,219.08,2025-01-14
PAY_000468,80.64,1.61,0.29,78.74,2025-01-14
PAY_000473,486.76,9.74,1.75,475.27,2025-01-14
PAY_000015,226.33,4.53,0.82,220.98,2025-01-15
PAY_000025,380.43,7.61,1.37,371.45,2025-01-15
PAY_000035,398.25,7.96,1.43,388.82,2025-01-15
PAY_000038,166.44,3.33,0.60,162.51,2025-01-15
PAY_000050,416.71,8.33,1.50,406.88,2025-01-15
PAY_000070,491.41,9.83,1.77,479.81,2025-01-15
PAY_000073,19.27,0.39,0.07,18.81,2025-01-15
PAY_000083,161.96,3.24,0.58,158.14,2025-01-15
PAY_000102,229.79,4.60,0.83,224.36,2025-01-15
PAY_000111,352.61,7.05,1.27,344.29,2025-01-15
PAY_000114,274.36,5.49,0.99,267.88,2025-01-15
PAY_000130,397.16,7.94,1.43,387.79,2025-01-15
PAY_000162,487.63,9.75,1.76,476.12,2025-01-15
PAY_000172,452.96,9.06,1.63,442.27,2025-01-15
PAY_000189,191.23,3.82,0.69,186.72,2025-01-15
PAY_000191,473.97,9.48,1.71,462.78,2025-01-15
PAY_000195,373.88,7.48,1.35,365.05,2025-01-15
PAY_000198,24.30,0.49,0.09,23.72,2025-01-15
PAY_000205,88.79,1.78,0.32,86.69,2025-01-15
PAY_000212,209.68,4.19,0.75,204.74,2025-01-15
PAY_000242,232.58,4.65,0.84,227.09,2025-01-15
PAY_000253,266.45,5.33,0.96,260.16,2025-01-15
PAY_000254,135.81,2.72,0.49,132.60,2025-01-15
PAY_000271,99.02,1.98,0.36,96.68,2025-01-15
PAY_000281,247.56,4.95,0.89,241.72,2025-01-15
PAY_000282,444.78,8.90,1.60,434.28,2025-01-15
PAY_000283,115.58,2.31,0.42,112.85,2025-01-15
PAY_000308,126.40,2.53,0.46,123.41,2025-01-15
PAY_000312,302.88,6.06,1.09,295.73,2025-01-15
PAY_000331,19.50,0.39,0.07,19.04,2025-01-15
PAY_000340,362.26,7.25,1.30,353.71,2025-01-15
PAY_000347,46.87,0.94,0.17,45.76,2025-01-15
PAY_000351,85.52,1.71,0.31,83.52,2025-01-15
PAY_000415,124.46,2.49,0.45,121.52,2025-01-15
PAY_000418,404.56,8.09,1.46,395.01,2025-01-15
PAY_000426,481.67,9.63,1.73,470.31,2025-01-15
PAY_000435,229.18,4.58,0.82,223.75,2025-01-15
PAY_000443,28.40,0.57,0.10,27.73,2025-01-15
PAY_000453,206.96,4.14,0.75,202.07,2025-01-15
PAY_000455,385.59,7.71,1.39,376.49,2025-01-15
PAY_000481,420.38,8.41,1.51,410.46,2025-01-15
PAY_000047,449.25,8.98,1.62,438.65,2025-01-16
PAY_000075,428.13,8.56,1.54,418.03,2025-01-16
PAY_000076,458.99,9.18,1.65,448.16,2025-01-16
PAY_000107,368.99,7.38,1.33,360.28,2025-01-16
PAY_000145,404.19,8.08,1.45,394.66,2025-01-16
PAY_000156,61.20,1.22,0.22,59.76,2025-01-16
PAY_000170,318.15,6.36,1.14,310.65,2025-01-16
PAY_000224,261.47,5.23,0.94,255.30,2025-01-16
PAY_000265,300.08,6.00,1.08,293.00,2025-01-16
PAY_000266,79.62,1.59,0.29,77.74,2025-01-16
PAY_000318,119.25,2.38,0.43,116.44,2025-01-16
PAY_000329,38.08,0.76,0.14,37.18,2025-01-16
PAY_000397,216.79,4.34,0.78,211.69,2025-01-16
PAY_000406,342.88,6.86,1.23,334.79,2025-01-16
PAY_000444,9.84,0.20,0.04,9.60,2025-01-16
PAY_000474,474.03,9.48,1.71,462.84,2025-01-16
PAY_000487,75.66,1.51,0.27,73.88,2025-01-16
PAY_000032,206.60,4.13,0.74,201.73,2025-01-17
PAY_000043,50.41,1.01,0.18,49.22,2025-01-17
PAY_000112,361.37,7.23,1.30,352.84,2025-01-17
PAY_000126,95.73,1.91,0.34,93.48,2025-01-17
PAY_000168,481.68,9.63,1.73,470.32,2025-01-17
PAY_000183,235.83,4.72,0.85,230.26,2025-01-17
PAY_000199,141.69,2.83,0.51,138.35,2025-01-17
PAY_000220,486.62,9.73,1.75,475.14,2025-01-17
PAY_000267,289.55,5.79,1.04,282.72,2025-01-17
PAY_000276,414.46,8.29,1.49,404.68,2025-01-17
PAY_000315,369.00,7.38,1.33,360.29,2025-01-17
PAY_000322,385.61,7.71,1.39,376.51,2025-01-17
PAY_000371,317.98,6.36,1.14,310.48,2025-01-17
PAY_000373,267.03,5.34,0.96,260.73,2025-01-17
PAY_000400,8.02,0.16,0.03,7.83,2025-01-17
PAY_000416,227.74,4.55,0.82,222.37,2025-01-17
PAY_000463,271.55,5.43,0.98,265.14,2025-01-17
PAY_000475,48.51,0.97,0.17,47.37,2025-01-17
PAY_000483,301.58,6.03,1.09,294.46,2025-01-17
PAY_000493,309.09,6.18,1.11,301.84,2025-01-17
PAY_000021,350.86,7.02,1.26,342.58,2025-01-20
PAY_000096,304.38,6.09,1.10,297.19,2025-01-20
PAY_000133,224.62,4.49,0.81,219.32,2025-01-20
PAY_000146,476.98,9.54,1.72,465.72,2025-01-20
PAY_000262,160.72,3.21,0.58,156.93,2025-01-20
PAY_000314,253.52,5.07,0.91,247.54,2025-01-20
PAY_000368,365.81,7.32,1.32,357.17,2025-01-20
PAY_000372,398.02,7.96,1.43,388.63,2025-01-20
PAY_000498,264.14,5.28,0.95,257.91,2025-01-20
PAY_000033,452.96,9.06,1.63,442.27,2025-01-21
PAY_000046,421.17,8.42,1.52,411.23,2025-01-21
PAY_000067,397.87,7.96,1.43,388.48,2025-01-21
PAY_000093,84.77,1.70,0.31,82.76,2025-01-21
PAY_000094,120.90,2.42,0.44,118.04,2025-01-21
PAY_000165,274.31,5.49,0.99,267.83,2025-01-21
PAY_000186,206.29,4.13,0.74,201.42,2025-01-21
PAY_000219,42.27,0.85,0.15,41.27,2025-01-21
PAY_000248,61.21,1.22,0.22,59.77,2025-01-21
PAY_000275,401.95,8.04,1.45,392.46,2025-01-21
PAY_000287,5.52,0.11,0.02,5.39,2025-01-21
PAY_000306,392.50,7.85,1.41,383.24,2025-01-21
PAY_000313,170.44,3.41,0.61,166.42,2025-01-21
PAY_000316,218.08,4.36,0.78,212.94,2025-01-21
PAY_000378,369.27,7.39,1.33,360.55,2025-01-21
PAY_000384,71.68,1.43,0.26,69.98,2025-01-21
PAY_000001,327.98,6.56,1.18,320.24,2025-01-22
PAY_000009,420.20,8.40,1.51,410.29,2025-01-22
PAY_000014,273.62,5.47,0.98,267.17,2025-01-22
PAY_000026,183.22,3.66,0.66,178.90,2025-01-22
PAY_000037,343.87,6.88,1.24,335.75,2025-01-22
PAY_000040,470.28,9.41,1.69,459.18,2025-01-22
PAY_000056,278.71,5.57,1.00,272.14,2025-01-22
PAY_000061,327.91,6.56,1.18,320.17,2025-01-22
PAY_000069,175.05,3.50,0.63,170.92,2025-01-22
PAY_000071,139.72,2.79,0.50,136.43,2025-01-22
PAY_000081,205.77,4.12,0.74,200.91,2025-01-22
PAY_000087,348.99,6.98,1.26,340.75,2025-01-22
PAY_000092,248.82,4.98,0.90,242.94,2025-01-22
PAY_000106,394.93,7.90,1.42,385.61,2025-01-22
PAY_000110,65.53,1.31,0.24,63.98,2025-01-22
PAY_000118,332.32,6.65,1.20,324.47,2025-01-22
PAY_000123,379.23,7.58,1.36,370.29,2025-01-22
PAY_000125,91.37,1.83,0.33,89.21,2025-01-22
PAY_000137,210.24,4.20,0.76,205.28,2025-01-22
PAY_000140,139.37,2.79,0.50,136.08,2025-01-22
PAY_000141,336.22,6.72,1.21,328.29,2025-01-22
PAY_000144,272.04,5.44,0.98,265.62,2025-01-22
PAY_000148,425.19,8.50,1.53,415.16,2025-01-22
PAY_000176,150.80,3.02,0.54,147.24,2025-01-22
PAY_000221,67.84,1.36,0.24,66.24,2025-01-22
PAY_000236,217.18,4.34,0.78,212.09,2025-01-22
PAY_000247,146.35,2.93,0.53,142.89,2025-01-22
PAY_000249,463.39,9.27,1.67,452.45,2025-01-22
PAY_000252,138.49,2.77,0.50,135.22,2025-01-22
PAY_000285,474.53,9.49,1.71,463.33,2025-01-22
PAY_000305,417.19,8.34,1.50,407.35,2025-01-22
PAY_000321,427.39,8.55,1.54,417.30,2025-01-22
PAY_000354,239.01,4.78,0.86,233.35,2025-01-22
PAY_000358,259.82,5.20,0.94,253.68,2025-01-22
PAY_000365,364.95,7.30,1.31,356.34,2025-01-22
PAY_000377,278.40,5.57,1.00,271.83,2025-01-22
PAY_000383,307.11,6.14,1.11,299.86,2025-01-22
PAY_000395,49.64,0.99,0.18,48.47,2025-01-22
PAY_000398,484.22,9.68,1.74,472.80,2025-01-22
PAY_000399,159.06,3.18,0.57,155.31,2025-01-22
PAY_000457,296.80,5.94,1.07,289.79,2025-01-22
PAY_000470,346.06,6.92,1.25,337.89,2025-01-22
PAY_000476,308.12,6.16,1.11,300.85,2025-01-22
PAY_000479,485.79,9.72,1.75,474.32,2025-01-22
PAY_000480,78.41,1.57,0.28,76.56,2025-01-22
PAY_000485,150.74,3.01,0.54,147.19,2025-01-22
PAY_000486,239.68,4.79,0.86,234.03,2025-01-22
PAY_000496,100.09,2.00,0.36,97.73,2025-01-22
PAY_000147,273.41,5.47,0.98,266.96,2025-01-23
PAY_000171,311.69,6.23,1.12,304.34,2025-01-23
PAY_000202,250.65,5.01,0.90,244.74,2025-01-23
PAY_000209,149.67,2.99,0.54,146.14,2025-01-23
PAY_000231,374.92,7.50,1.35,366.07,2025-01-23
PAY_000277,492.25,9.84,1.77,480.64,2025-01-23
PAY_000288,463.06,9.26,1.67,452.13,2025-01-23
PAY_000303,162.89,3.26,0.59,159.04,2025-01-23
PAY_000311,84.23,1.68,0.30,82.25,2025-01-23
PAY_000327,277.41,5.55,1.00,270.89,2025-01-23
PAY_000355,340.28,6.81,1.23,332.24,2025-01-23
PAY_000437,349.29,6.99,1.26,341.04,2025-01-23
PAY_000469,231.91,4.64,0.84,226.39,2025-01-23
PAY_000471,457.03,9.14,1.65,446.24,2025-01-23
PAY_000499,480.97,9.62,1.73,469.62,2025-01-23
PAY_000010,251.18,5.02,0.90,245.26,2025-01-24
PAY_000016,47.88,0.96,0.17,46.75,2025-01-24
PAY_000034,40.01,0.80,0.14,39.07,2025-01-24
PAY_000062,427.83,8.56,1.54,417.73,2025-01-24
PAY_000065,283.56,5.67,1.02,276.87,2025-01-24
PAY_000066,47.10,0.94,0.17,45.99,2025-01-24
PAY_000078,64.88,1.30,0.23,63.35,2025-01-24
PAY_000153,152.48,3.05,0.55,148.85,2025-01-24
PAY_000164,72.34,1.45,0.26,70.63,2025-01-24
PAY_000182,59.75,1.20,0.22,58.33,2025-01-24
PAY_000302,413.38,8.27,1.49,403.62,2025-01-24
PAY_000310,217.94,4.36,0.78,212.80,2025-01-24
PAY_000323,231.33,4.63,0.83,225.87,2025-01-24
PAY_000352,66.41,1.33,0.24,64.84,2025-01-24
PAY_000380,89.64,1.79,0.32,87.53,2025-01-24
PAY_000489,176.73,3.53,0.64,172.56,2025-01-24
PAY_000495,172.66,3.45,0.62,168.59,2025-01-24
PAY_000057,253.79,5.08,0.91,247.80,2025-01-27
PAY_000113,404.72,8.09,1.46,395.17,2025-01-27
PAY_000120,71.83,1.44,0.26,70.13,2025-01-27
PAY_000129,89.24,1.78,0.32,87.14,2025-01-27
PAY_000143,82.18,1.64,0.30,80.27,2025-01-27
PAY_000196,184.87,3.70,0.67,180.50,2025-01-27
PAY_000211,383.56,7.67,1.38,374.51,2025-01-27
PAY_000233,84.65,1.69,0.30,82.66,2025-01-27
PAY_000243,168.45,3.37,0.61,164.47,2025-01-27
PAY_000259,238.76,4.78,0.86,233.12,2025-01-27
PAY_000273,215.77,4.32,0.78,210.67,2025-01-27
PAY_000284,322.00,6.44,1.16,314.40,2025-01-27
PAY_000343,204.54,4.09,0.74,199.71,2025-01-27
PAY_000348,361.49,7.23,1.30,352.96,2025-01-27
PAY_000353,5.91,0.12,0.02,5.77,2025-01-27
PAY_000359,119.38,2.39,0.43,116.56,2025-01-27
PAY_000392,240.13,4.80,0.86,234.47,2025-01-27
PAY_000460,436.60,8.73,1.57,426.30,2025-01-27
PAY_000464,210.35,4.21,0.76,205.38,2025-01-27
PAY_000482,474.68,9.49,1.71,463.48,2025-01-27
PAY_000488,49.43,0.99,0.18,48.26,2025-01-27
PAY_000019,139.82,2.80,0.50,136.52,2025-01-28
PAY_000089,450.51,9.01,1.62,439.88,2025-01-28
PAY_000095,342.48,6.85,1.23,334.40,2025-01-28
PAY_000227,299.28,5.99,1.08,292.21,2025-01-28
PAY_000244,383.05,7.66,1.38,374.01,2025-01-28
PAY_000246,377.17,7.54,1.36,368.27,2025-01-28
PAY_000328,383.61,7.67,1.38,374.56,2025-01-28
PAY_000335,476.36,9.53,1.72,465.11,2025-01-28
PAY_000350,261.23,5.22,0.94,255.07,2025-01-28
PAY_000424,410.35,8.21,1.48,400.66,2025-01-28
PAY_000439,275.04,5.50,0.99,268.55,2025-01-28
PAY_000447,375.22,7.50,1.35,366.37,2025-01-28
PAY_000449,36.96,0.74,0.13,36.09,2025-01-28
PAY_000477,393.22,7.86,1.41,383.95,2025-01-28
PAY_000003,44.80,0.90,0.16,43.74,2025-01-29
PAY_000029,372.20,7.44,1.34,363.42,2025-01-29
PAY_000039,283.12,5.66,1.02,276.44,2025-01-29
PAY_000042,315.62,6.31,1.14,308.17,2025-01-29
PAY_000048,121.30,2.43,0.44,118.43,2025-01-29
PAY_000053,390.62,7.81,1.41,381.40,2025-01-29
PAY_000060,220.93,4.42,0.80,215.71,2025-01-29
PAY_000064,288.15,5.76,1.04,281.35,2025-01-29
PAY_000077,218.29,4.37,0.79,213.13,2025-01-29
PAY_000080,498.07,9.96,1.79,486.32,2025-01-29
PAY_000086,386.24,7.72,1.39,377.13,2025-01-29
PAY_000091,249.67,4.99,0.90,243.78,2025-01-29
PAY_000101,248.54,4.97,0.89,242.68,2025-01-29
PAY_000105,132.05,2.64,0.48,128.93,2025-01-29
PAY_000117,247.40,4.95,0.89,241.56,2025-01-29
PAY_000121,49.15,0.98,0.18,47.99,2025-01-29
PAY_000134,307.00,6.14,1.11,299.75,2025-01-29
PAY_000155,333.66,6.67,1.20,325.79,2025-01-29
PAY_000157,123.45,2.47,0.44,120.54,2025-01-29
PAY_000158,365.69,7.31,1.32,357.06,2025-01-29
PAY_000185,169.12,3.38,0.61,165.13,2025-01-29
PAY_000207,10.94,0.22,0.04,10.68,2025-01-29
PAY_000210,463.90,9.28,1.67,452.95,2025-01-29
PAY_000214,14.50,0.29,0.05,14.16,2025-01-29
PAY_000228,75.80,1.52,0.27,74.01,2025-01-29
PAY_000250,58.63,1.17,0.21,57.25,2025-01-29
PAY_000299,314.66,6.29,1.13,307.24,2025-01-29
PAY_000307,343.71,6.87,1.24,335.60,2025-01-29
PAY_000317,93.09,1.86,0.33,90.90,2025-01-29
PAY_000332,299.53,5.99,1.08,292.46,2025-01-29
PAY_000337,311.69,6.23,1.12,304.34,2025-01-29
PAY_000364,245.12,4.90,0.88,239.34,2025-01-29
PAY_000367,105.71,2.11,0.38,103.22,2025-01-29
PAY_000379,65.70,1.31,0.24,64.15,2025-01-29
PAY_000386,4.43,0.09,0.02,4.32,2025-01-29
PAY_000390,439.22,8.78,1.58,428.86,2025-01-29
PAY_000393,18.12,0.36,0.06,17.70,2025-01-29
PAY_000410,13.93,0.28,0.05,13.60,2025-01-29
PAY_000411,69.99,1.40,0.25,68.34,2025-01-29
PAY_000420,145.87,2.92,0.53,142.42,2025-01-29
PAY_000432,423.38,8.47,1.52,413.39,2025-01-29
PAY_000445,51.79,1.04,0.19,50.56,2025-01-29
PAY_000452,230.55,4.61,0.83,225.11,2025-01-29
PAY_000459,128.73,2.57,0.46,125.70,2025-01-29
PAY_000465,269.70,5.39,0.97,263.34,2025-01-29
PAY_000466,130.23,2.60,0.47,127.16,2025-01-29
PAY_000478,201.59,4.03,0.73,196.83,2025-01-29
PAY_000490,295.68,5.91,1.06,288.71,2025-01-29
PAY_000491,274.42,5.49,0.99,267.94,2025-01-29
PAY_000492,294.40,5.89,1.06,287.45,2025-01-29
PAY_000006,368.41,7.37,1.33,359.71,2025-01-30
PAY_000012,391.22,7.82,1.41,381.99,2025-01-30
PAY_000020,84.28,1.69,0.30,82.29,2025-01-30
PAY_000030,461.42,9.23,1.66,450.53,2025-01-30
PAY_000054,236.84,4.74,0.85,231.25,2025-01-30
PAY_000063,41.44,0.83,0.15,40.46,2025-01-30
PAY_000116,11.72,0.23,0.04,11.45,2025-01-30
PAY_000132,494.87,9.90,1.78,483.19,2025-01-30
PAY_000179,47.28,0.95,0.17,46.16,2025-01-30
PAY_000188,368.84,7.38,1.33,360.13,2025-01-30
PAY_000215,44.02,0.88,0.16,42.98,2025-01-30
PAY_000255,497.31,9.95,1.79,485.60,2025-01-30
PAY_000330,90.00,1.80,0.32,87.88,2025-01-30
PAY_000356,364.42,7.29,1.31,355.82,2025-01-30
PAY_000370,408.93,8.18,1.47,399.28,2025-01-30
PAY_000438,270.84,5.42,0.98,264.44,2025-01-30
PAY_000442,407.04,8.14,1.47,397.43,2025-01-30
PAY_000000,46.44,0.93,0.17,45.34,2025-01-31
PAY_000007,359.31,7.19,1.29,350.83,2025-01-31
PAY_000024,339.61,6.79,1.22,331.60,2025-01-31
PAY_000052,398.83,7.98,1.44,389.41,2025-01-31
PAY_000055,140.00,2.80,0.50,136.66,2025-01-31
PAY_000079,253.50,5.07,0.91,247.52,2025-01-31
PAY_000104,133.23,2.66,0.48,130.09,2025-01-31
PAY_000119,155.71,3.11,0.56,152.04,2025-01-31
PAY_000138,234.62,4.69,0.84,229.09,2025-01-31
PAY_000159,469.51,9.39,1.69,458.43,2025-01-31
PAY_000184,13.01,0.26,0.05,12.70,2025-01-31
PAY_000200,499.02,9.98,1.80,487.24,2025-01-31
PAY_000237,317.88,6.36,1.14,310.38,2025-01-31
PAY_000241,126.75,2.54,0.46,123.75,2025-01-31
PAY_000298,290.52,5.81,1.05,283.66,2025-01-31
PAY_000300,308.91,6.18,1.11,301.62,2025-01-31
PAY_000325,245.65,4.91,0.88,239.86,2025-01-31
PAY_000344,223.70,4.47,0.80,218.43,2025-01-31
PAY_000345,498.34,9.97,1.79,486.58,2025-01-31
PAY_000357,460.22,9.20,1.66,449.36,2025-01-31
PAY_000366,460.97,9.22,1.66,450.09,2025-01-31
PAY_000382,181.67,3.63,0.65,177.39,2025-01-31
PAY_000417,427.47,8.55,1.54,417.38,2025-01-31
PAY_000431,61.87,1.24,0.22,60.41,2025-01-31
PAY_000458,272.42,5.45,0.98,265.99,2025-01-31
PAY_000494,124.65,2.49,0.45,121.71,2025-01-31
PAY_000497,265.77,5.32,0.96,259.49,2025-01-31
PAY_000013,202.40,4.05,0.73,197.62,2025-02-03
PAY_000041,82.02,1.64,0.30,80.08,2025-02-03
PAY_000044,384.39,7.69,1.38,375.32,2025-02-03
PAY_000045,218.74,4.37,0.79,213.58,2025-02-03
PAY_000082,210.14,4.20,0.76,205.18,2025-02-03
PAY_000150,183.11,3.66,0.66,178.79,2025-02-03
PAY_000166,156.36,3.13,0.56,152.67,2025-02-03
PAY_000167,231.10,4.62,0.83,225.65,2025-02-03
PAY_000193,35.68,0.71,0.13,34.84,2025-02-03
PAY_000213,432.43,8.65,1.56,422.22,2025-02-03
PAY_000222,255.17,5.10,0.92,249.15,2025-02-03
PAY_000235,369.69,7.39,1.33,360.97,2025-02-03
PAY_000256,420.75,8.42,1.52,410.81,2025-02-03
PAY_000261,97.76,1.96,0.35,95.45,2025-02-03
PAY_000274,258.97,5.18,0.93,252.86,2025-02-03
PAY_000297,161.70,3.23,0.58,157.89,2025-02-03
PAY_000326,102.77,2.06,0.37,100.34,2025-02-03
PAY_000342,86.36,1.73,0.31,84.32,2025-02-03
PAY_000396,361.85,7.24,1.30,353.31,2025-02-03
PAY_000425,490.07,9.80,1.76,478.51,2025-02-03
PAY_000429,335.23,6.70,1.21,327.32,2025-02-03
PAY_000002,217.64,4.35,0.78,212.51,2025-02-04
PAY_000072,496.35,9.93,1.79,484.63,2025-02-04
PAY_000115,232.68,4.65,0.84,227.19,2025-02-04
PAY_000279,396.74,7.93,1.43,387.38,2025-02-04
PAY_000290,48.47,0.97,0.17,47.35,2025-02-04
PAY_000304,483.56,9.67,1.74,472.15,2025-02-04
PAY_000324,480.33,9.61,1.73,468.99,2025-02-04
PAY_000333,252.65,5.05,0.91,246.69,2025-02-04
PAY_000389,136.94,2.74,0.49,133.71,2025-02-04
PAY_000407,389.44,7.79,1.40,380.25,2025-02-04
PAY_000427,145.32,2.91,0.52,141.89,2025-02-04
PAY_000433,410.26,8.21,1.48,400.57,2025-02-04
PAY_000440,44.84,0.90,0.16,43.78,2025-02-04
PAY_000011,92.91,1.86,0.33,90.72,2025-02-05
PAY_000018,429.43,8.59,1.55,419.29,2025-02-05
PAY_000023,223.95,4.48,0.81,218.66,2025-02-05
PAY_000099,170.79,3.42,0.62,166.75,2025-02-05
PAY_000100,184.40,3.69,0.66,180.05,2025-02-05
PAY_000109,224.62,4.49,0.81,219.32,2025-02-05
PAY_000131,151.39,3.03,0.55,147.81,2025-02-05
PAY_000136,77.44,1.55,0.28,75.61,2025-02-05
PAY_000151,6.93,0.14,0.03,6.76,2025-02-05
PAY_000161,308.09,6.16,1.11,300.82,2025-02-05
PAY_000169,102.96,2.06,0.37,100.53,2025-02-05
PAY_000173,495.71,9.91,1.78,484.02,2025-02-05
PAY_000178,77.46,1.55,0.28,75.63,2025-02-05
PAY_000181,113.26,2.27,0.41,110.61,2025-02-05
PAY_000190,4.64,0.09,0.02,4.53,2025-02-05
PAY_000197,360.53,7.21,1.30,352.02,2025-02-05
PAY_000218,284.51,5.69,1.02,277.80,2025-02-05
PAY_000223,158.24,3.16,0.57,154.51,2025-02-05
PAY_000232,5.24,0.10,0.02,5.12,2025-02-05
PAY_000245,466.75,9.34,1.68,455.73,2025-02-05
PAY_000251,481.39,9.63,1.73,470.03,2025-02-05
PAY_000264,457.81,9.16,1.65,447.00,2025-02-05
PAY_000278,368.54,7.37,1.33,359.84,2025-02-05
PAY_000292,203.24,4.06,0.73,198.45,2025-02-05
PAY_000295,400.75,8.02,1.44,391.29,2025-02-05
PAY_000319,396.79,7.94,1.43,387.42,2025-02-05
PAY_000339,262.57,5.25,0.94,256.38,2025-02-05
